Type of property,Subtype of property,Price,State of the building,Surface of the plot,Surface of the land,Area,Number of rooms,Furnished,Fully equipped kitchen,Number of facades,Garden,Garden surface,Open fire,Terrace,Terrace surface,Investment property
House,House,849000,Good,600,600,562,5,0,0,,0,,0,0,,0
House,Villa,1500000,As new,4048,3994,620,3,0,0,4,0,,1,1,54,
House,House,387500,As new,470,470,162,3,0,1,3,1,,0,0,,
House,House,387500,As new,432,432,162,3,0,1,3,0,,0,0,,
House,House,387500,As new,432,432,162,3,0,1,3,1,,0,0,,
House,House,387500,As new,470,470,162,3,0,1,3,1,,0,0,,
House,House,389000,As new,330,164,175,4,0,1,3,1,160,0,1,6,0
House,House,456200,As new,749,749,208,3,0,1,3,0,,0,0,,
House,Villa,598500,As new,3300,3300,256,3,0,0,,0,,0,0,,0
House,House,474000,Good,758,758,260,6,0,0,4,0,,0,0,,0
House,House,460000,As new,290,268,195,,0,0,3,0,,0,1,22,0
House,Manor house,347000,To be done up,744,744,142,3,0,0,,1,,0,0,,0
House,House,540000,As new,312,-19,220,4,0,0,,1,311,0,1,20,0
House,House,175000,To be done up,142,142,112,3,0,0,3,1,,0,0,,0
House,House,197000,Just renovated,84,55,84,1,0,0,2,1,29,0,0,,0
House,House,265000,,850,850,139,3,0,0,3,0,,0,0,,0
House,House,280000,Just renovated,176,59,116,2,0,0,2,1,116,0,1,1,0
House,House,289000,Good,234,134,140,3,0,0,2,1,100,0,0,,0
House,House,295000,As new,155,50,75,2,0,0,2,1,105,0,0,,0
House,House,340000,Good,155,67,81,3,0,0,2,1,88,0,0,,0
House,House,378000,As new,165,51,170,4,0,0,2,1,82,0,1,32,0
House,House,399000,Good,397,397,153,3,0,1,3,0,,0,0,,0
House,House,418000,As new,317,227,180,2,0,0,2,1,70,0,1,20,0
House,Villa,430000,Good,1360,1340,322,4,0,0,4,0,,1,1,20,0
House,House,519000,To be done up,2392,2392,300,3,0,0,4,1,,0,0,,0
